course_title,course_url,platform,language,duration,difficulty_level,rating_out_of_5
an-introduction-to-breast-feeding-for-medical-students,https://www.futurelearn.com/courses/an-introduction-to-gender-and-mobility-in-emerging-economies,FutureLearn,English,4 weeks,Open level,4.7
an-introduction-to-chinese-sign-language-and-linguistics,https://www.futurelearn.com/courses/an-introduction-to-hyflex-learning-and-teaching,FutureLearn,English,4 weeks,Intermediate,4.3
an-introduction-to-cognitive-psychology-as-an-experimental-science,https://www.futurelearn.com/courses/an-introduction-to-leading-with-compassion-and-kindness-in-health-and-social-care,FutureLearn,English,4 weeks,Beginner,4.5
an-introduction-to-counselling,https://www.futurelearn.com/courses/an-introduction-to-legal-innovation-technology,FutureLearn,English,2 weeks,Intermediate,4.4
an-introduction-to-electronic-engineering,https://www.futurelearn.com/courses/an-introduction-to-logic-for-computer-science,FutureLearn,English,4 weeks,Introductory,4.7
an-introduction-to-employment-law-for-hr-professionals-employers-and-managers,https://www.futurelearn.com/courses/an-introduction-to-machine-learning-in-quantitative-finance,FutureLearn,English,3 weeks,Introductory,4.5
an-introduction-to-energy-harvesting-technology,https://www.futurelearn.com/courses/an-introduction-to-physical-computing,FutureLearn,English,4 weeks,Beginner,4.5
an-introduction-to-food-science,https://www.futurelearn.com/courses/an-introduction-to-playwriting,FutureLearn,English,3 weeks,Introductory,4.9
an-introduction-to-gender-and-mobility-in-emerging-economies,https://www.futurelearn.com/courses/an-introduction-to-waqf,FutureLearn,English,4 weeks,Introductory,4.7
an-introduction-to-hyflex-learning-and-teaching,https://www.futurelearn.com/courses/analyze-and-visualize-data-with-pivot-tables,FutureLearn,English,4 weeks,Intermediate,4.5
an-introduction-to-leading-with-compassion-and-kindness-in-health-and-social-care,https://www.futurelearn.com/courses/analyze-and-visualize-data-with-pivot-tables-sc,FutureLearn,English,6 weeks,Intermediate,4.9
an-introduction-to-legal-innovation-technology,https://www.futurelearn.com/courses/anarchy-in-the-uk,FutureLearn,English,2 weeks,Open level,4.5
an-introduction-to-logic-for-computer-science,https://www.futurelearn.com/courses/anatomy,FutureLearn,English,2 weeks,Beginner,4.5
an-introduction-to-machine-learning-in-quantitative-finance,https://www.futurelearn.com/courses/anatomy-know-your-abdomen,FutureLearn,English,3 weeks,Open level,4.1
an-introduction-to-physical-computing,https://www.futurelearn.com/courses/ancient-health,FutureLearn,English,2 weeks,Introductory,4.6
an-introduction-to-playwriting,https://www.futurelearn.com/courses/animal-feed-quality,FutureLearn,English,1 week,Introductory,4.6
an-introduction-to-waqf,https://www.futurelearn.com/courses/animal-feed-safety,FutureLearn,English,6 weeks,Introductory,4.5
an-intro-to-cryptography,https://www.futurelearn.com/courses/anthropology-social-media,FutureLearn,English,3 weeks,Introductory,4.4
anthropology-social-media,https://www.futurelearn.com/courses/anti-racism-and-human-rights,FutureLearn,English,2 weeks,Beginner,4.7
antifungal-stewardship,https://www.futurelearn.com/courses/anti-racist-technologies,FutureLearn,English,3 weeks,Beginner,4.7
antimicrobial-databases-and-genotype-prediction-data-sharing-and-analysis,https://www.futurelearn.com/courses/antifungal-stewardship,FutureLearn,English,3 weeks,Beginner,4.5
antimicrobial-resistance-food-chain,https://www.futurelearn.com/courses/antimicrobial-databases-and-genotype-prediction-data-sharing-and-analysis,FutureLearn,English,4 weeks,Introductory,4.5
antimicrobial-stewardship,https://www.futurelearn.com/courses/antimicrobial-resistance-food-chain,FutureLearn,English,4 weeks,Beginner,4.6
antimicrobial-stewardship-for-africa,https://www.futurelearn.com/courses/antimicrobial-stewardship,FutureLearn,English,6 weeks,Beginner,5
antimicrobial-stewardship-for-the-middle-east,https://www.futurelearn.com/courses/antimicrobial-stewardship-for-africa,FutureLearn,English,4 weeks,Beginner,4.5
antimicrobial-stewardship-in-veterinary-practice,https://www.futurelearn.com/courses/antimicrobial-stewardship-for-the-middle-east,FutureLearn,English,3 weeks,Beginner,4.5
antimicrobial-stewardship-in-wound-management,https://www.futurelearn.com/courses/antimicrobial-stewardship-in-veterinary-practice,FutureLearn,English,3 weeks,Introductory,4.7
antimicrobial-stewardship-in-wound-management-espanolhones,https://www.futurelearn.com/courses/antimicrobial-stewardship-in-wound-management,FutureLearn,English,2 weeks,Introductory,4.4
anti-racism-and-human-rights,https://www.futurelearn.com/courses/antimicrobial-stewardship-in-wound-management-espanolhones,FutureLearn,English,4 weeks,Beginner,4.5
anti-racist-technologies,https://www.futurelearn.com/courses/anxiety-depression-and-cbt,FutureLearn,English,4 weeks,Beginner,4.5
anxiety-depression-and-cbt,https://www.futurelearn.com/courses/applications-of-ai-in-real-estate-finance-and-investment,FutureLearn,English,4 weeks,Introductory,4.5
a-panoramic-view-of-china,https://www.futurelearn.com/courses/applications-of-calculus,FutureLearn,English,3 weeks,Introductory,4.5
applications-of-ai-in-real-estate-finance-and-investment,https://www.futurelearn.com/courses/applied-big-data-analytics,FutureLearn,English,2 weeks,Intermediate,4.5
applications-of-calculus,https://www.futurelearn.com/courses/applied-data-analysis-for-modern-organizations,FutureLearn,English,2 weeks,Open level,4.5
applied-ai-on-microsoft,https://www.futurelearn.com/courses/applied-leadership-and-self-development-expanding-the-toolkit,FutureLearn,English,2 weeks,Open level,4.5
applied-big-data-analytics,https://www.futurelearn.com/courses/applied-local-large-language-models,FutureLearn,English,3 weeks,Introductory,4.8
applied-data-analysis,https://www.futurelearn.com/courses/apply-creative-machine-learning,FutureLearn,English,2 weeks,Introductory,4.7
applied-data-analysis-for-modern-organizations,https://www.futurelearn.com/courses/archaeology,FutureLearn,English,6 weeks,Beginner,4.7
applied-leadership-and-self-development-expanding-the-toolkit,https://www.futurelearn.com/courses/archaeology-of-past-nomads-on-the-mongolian-steppe,FutureLearn,English,5 weeks,Beginner,4.4
applied-local-large-language-models,https://www.futurelearn.com/courses/art-and-the-environment-in-southeast-asia-environment-as-contested-space,FutureLearn,English,5 weeks,Beginner,4.4
applied-statistics,https://www.futurelearn.com/courses/artificial-intelligence,FutureLearn,English,5 weeks,Open level,4.6
apply-creative-machine-learning,https://www.futurelearn.com/courses/artificial-intelligence-for-healthcare-opportunities-and-challenges,FutureLearn,English,3 weeks,Open level,3.8
Applying Psychology to Work,https://www.futurelearn.com/courses/artificial-intelligence-in-bioinformatics,FutureLearn,English,3 weeks,Beginner,4.8
Applying Psychology to Work,https://www.futurelearn.com/courses/artificial-intelligence-in-healthcare,FutureLearn,English,3 weeks,Intermediate,4.8
Aquatic mammals,https://www.futurelearn.com/courses/artificial-intelligence-technology-application,FutureLearn,English,3 weeks,Beginner,5
archaeology,https://www.futurelearn.com/courses/atmospheric-chemistry-planets-and-life-beyond-earth,FutureLearn,English,3 weeks,Introductory,4.8
archaeology-of-past-nomads-on-the-mongolian-steppe,https://www.futurelearn.com/courses/attention-and-autism,FutureLearn,English,6 weeks,Beginner,4.7
arden-university-ba-hons-business-management,https://www.futurelearn.com/courses/australian-crime,FutureLearn,English,3 weeks,Intermediate,4.7
arden-university-ba-hons-criminology,https://www.futurelearn.com/courses/autism,FutureLearn,English,3 weeks,Intermediate,4.7
arden-university-bsc-forensic-criminal-investigation,https://www.futurelearn.com/courses/autism-and-education,FutureLearn,English,3 weeks,Introductory,4.7
arden-university-bsc-hons-accounting-finance,https://www.futurelearn.com/courses/autism-and-healthcare,FutureLearn,English,3 weeks,Intermediate,4.8
arden-university-bsc-hons-health-and-care-management,https://www.futurelearn.com/courses/autism-and-the-legal-issues,FutureLearn,English,3 weeks,Introductory,4.8
arden-university-bsc-hons-project-management,https://www.futurelearn.com/courses/autism-education,FutureLearn,English,5 weeks,Open level,4.8
arden-university-bsc-hons-psychology-counselling,https://www.futurelearn.com/courses/automated-vehicles-a-tool-for-people-centred-planning,FutureLearn,English,6 weeks,Introductory,4.5
arden-university-bsc-psychology-bsc-hons-psychology,https://www.futurelearn.com/courses/aviation-big-data-applications,FutureLearn,English,3 weeks,Introductory,4.5
arden-university-level4-certhe-health-and-care-management,https://www.futurelearn.com/courses/awake-brain-surgery,FutureLearn,English,2 weeks,Beginner,4.7
arden-university-level5-diphe-health-and-care-management,https://www.futurelearn.com/courses/azure-cloud-fundamentals,FutureLearn,English,2 weeks,Beginner,4.5
arden-university-mba-master-of-business-administration,https://www.futurelearn.com/courses/azure-data-for-engineer-part-2,FutureLearn,English,4 weeks,Beginner,4.5
arden-university-msc-business-psychology,https://www.futurelearn.com/courses/azure-for-data-engineer,FutureLearn,English,4 weeks,Introductory,4.5
arden-university-msc-psychology-conversion-msc-psychology,https://www.futurelearn.com/courses/bagloriaethcymru,FutureLearn,English,4 weeks,Beginner,4.9
a-reporters-toolkit-for-the-digital-and-social-media-age,https://www.futurelearn.com/courses/baking-afternoon-tea,FutureLearn,English,2 weeks,Open level,4.8
a-reporters-toolkit-for-the-digital-and-social-media-age-sc,https://www.futurelearn.com/courses/baking-pies-and-tarts,FutureLearn,English,6 weeks,Introductory,4.1
Art in Renaissance Venice,https://www.futurelearn.com/courses/baking-showstopper-cakes,FutureLearn,English,6 weeks,Beginner,4.5
art-and-the-environment-in-southeast-asia-environment-as-contested-space,https://www.futurelearn.com/courses/basic-concepts-in-microbiology-and-clinical-pharmacology-of-antimicrobials,FutureLearn,English,3 weeks,Beginner,4.7
ARTH101: Art Appreciation,https://www.futurelearn.com/courses/basic-english-elementary,FutureLearn,English,4 weeks,Introductory,4.5
artificial-intelligence,https://www.futurelearn.com/courses/basic-english-pre-intermediate,FutureLearn,English,3 weeks,Introductory,4.3
artificial-intelligence,https://www.futurelearn.com/courses/basic-first-aid,FutureLearn,English,5 weeks,Beginner,4.4
artificial-intelligence,https://www.futurelearn.com/courses/basic-first-aid-for-animals-and-pets,FutureLearn,English,4 weeks,Intermediate,4.5
artificial-intelligence-for-healthcare-opportunities-and-challenges,https://www.futurelearn.com/courses/batteries-for-the-energy-transition-exploring-the-sustainable-value-chain,FutureLearn,English,2 weeks,Beginner,4.5
artificial-intelligence-in-bioinformatics,https://www.futurelearn.com/courses/battle-of-dunbar-1650,FutureLearn,English,4 weeks,Intermediate,4.6
artificial-intelligence-in-healthcare,https://www.futurelearn.com/courses/be-a-dentist,FutureLearn,English,3 weeks,Beginner,4.6
artificial-intelligence-technology-application,https://www.futurelearn.com/courses/become-a-better-presenter,FutureLearn,English,4 weeks,Introductory,4.7
a-survey-of-substance-use-disorder-sc,https://www.futurelearn.com/courses/become-a-blockchain-developer-foundations,FutureLearn,English,4 weeks,Beginner,4.5
a-three-step-guide-to-equitable-makerspaces,https://www.futurelearn.com/courses/becoming-a-better-music-teacher,FutureLearn,English,4 weeks,Beginner,4.5
atmospheric-chemistry-planets-and-life-beyond-earth,https://www.futurelearn.com/courses/becoming-a-charity-member-what-you-should-know,FutureLearn,English,4 weeks,Beginner,4.5
attention-and-autism,https://www.futurelearn.com/courses/begin-robotics,FutureLearn,English,4 weeks,Intermediate,4.7
australian-crime,https://www.futurelearn.com/courses/beginners-guide-fashion-design,FutureLearn,English,4 weeks,Beginner,4.5
